advertisers_company_name,api_text,clicks,impressions
SputnikClothes,"We've recently opened our new store at West Edmonton Mall in Edmonton, AB! Visit us today. http://t.co/GbvyydomRX",27,14347
SputnikClothes,"We've recently opened our new store at West Edmonton Mall in Edmonton, AB! Visit us today. http://t.co/GbvyydomRX",9,5590
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",48,29488
SputnikClothes,"We've recently opened our new store at West Edmonton Mall in Edmonton, AB! Visit us today. http://t.co/GbvyydomRX",14,3137
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",67,31339
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",18,12961
SputnikClothes,"We've recently opened our new store at West Edmonton Mall in Edmonton, AB! Visit us today. http://t.co/GbvyydomRX",18,13994
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",24,11151
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",25,10928
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",70,25755
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",52,31668
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",0,1
SputnikClothes,"We've recently opened our new store at West Edmonton Mall in Edmonton, AB! Visit us today. http://t.co/GbvyydomRX",44,13011
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",0,17
SputnikClothes,"We've recently opened our new store at West Edmonton Mall in Edmonton, AB! Visit us today. http://t.co/GbvyydomRX",49,24370
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",5,5421
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",61,25983
SputnikClothes,"We've recently opened our new store at West Edmonton Mall in Edmonton, AB! Visit us today. http://t.co/GbvyydomRX",68,28483
SputnikClothes,"We've recently opened our new store at West Edmonton Mall in Edmonton, AB! Visit us today. http://t.co/GbvyydomRX",83,32790
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",30,20595
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",28,14293
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",16,12295
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",42,17615
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",22,14130
SputnikClothes,"We've recently opened our new store at West Edmonton Mall in Edmonton, AB! Visit us today. http://t.co/GbvyydomRX",33,17081
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",25,18062
SputnikClothes,"We've recently opened our new store at West Edmonton Mall in Edmonton, AB! Visit us today. http://t.co/GbvyydomRX",56,25693
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",1,11
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",16,9451
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",18,15179
SputnikClothes,"We've recently opened our new store at West Edmonton Mall in Edmonton, AB! Visit us today. http://t.co/GbvyydomRX",57,27497
SputnikClothes,"We've recently opened our new store at West Edmonton Mall in Edmonton, AB! Visit us today. http://t.co/GbvyydomRX",29,14339
SputnikClothes,"We've recently opened our new store at Willowbrook Mall in Wayne, NJ! Visit us today. http://t.co/1j9h1P3eAY",1,1000
SputnikClothes,"We've recently opened our new store at West Edmonton Mall in Edmonton, AB! Visit us today. http://t.co/GbvyydomRX",0,39
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,29661
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,22176
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,18788
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,17497
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,17071
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,16593
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,16772
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,8803
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,13
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,5
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,2
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,1
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,7261
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,15
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,14552
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,12384
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,10598
"Norwegian Cruise Lines","Need a #UltimateGetaway? Sign up to get info on last minute cruise deals and cruise vacation specials.  https://t.co/mS7XCVnyjw",0,32
Stainmaster,"Is your pet is still working on his New Year resolutions? http://t.co/YeXj5yUtro #UnShameYourPet http://t.co/W87A6babZi",0,19027
Stainmaster,"Is your pet is still working on his New Year resolutions? http://t.co/YeXj5yUtro #UnShameYourPet http://t.co/W87A6babZi",0,64739
Stainmaster,"Is your pet is still working on his New Year resolutions? http://t.co/YeXj5yUtro #UnShameYourPet http://t.co/W87A6babZi",0,74350
Stainmaster,"Is your pet is still working on his New Year resolutions? http://t.co/YeXj5yUtro #UnShameYourPet http://t.co/W87A6babZi",0,48819
Stainmaster,"Is your pet is still working on his New Year resolutions? http://t.co/YeXj5yUtro #UnShameYourPet http://t.co/W87A6babZi",0,3918
Stainmaster,"Is your pet is still working on his New Year resolutions? http://t.co/YeXj5yUtro #UnShameYourPet http://t.co/W87A6babZi",0,5060
Stainmaster,"Is your pet is still working on his New Year resolutions? http://t.co/YeXj5yUtro #UnShameYourPet http://t.co/W87A6babZi",0,7649
Stainmaster,"Is your pet is still working on his New Year resolutions? http://t.co/YeXj5yUtro #UnShameYourPet http://t.co/W87A6babZi",0,5594
Stainmaster,"Is your pet is still working on his New Year resolutions? http://t.co/YeXj5yUtro #UnShameYourPet http://t.co/W87A6babZi",0,1
"CBS Sports","Fans in the @GoCards area can watch the game on these channels: DIRECTV 221 Dish 158 AT&amp;T U-verse 1643 Time Warner 968 #UofL #L1C4",0,101392
"CBS Sports","Fans in the @GoCards area can watch the game on these channels: DIRECTV 221 Dish 158 AT&amp;T U-verse 1643 Time Warner 968 #UofL #L1C4",0,243
"CBS Sports","Fans in the @GoCards area can watch the game on these channels: DIRECTV 221 Dish 158 AT&amp;T U-verse 1643 Time Warner 968 #UofL #L1C4",0,1
"CBS Sports","Remember to follow @HoopsonCBS for updates on @GoCards vs. @RutgersMBB and our games through the season! #UofL #RHoops",0,378485
"CBS Sports","Remember to follow @HoopsonCBS for updates on @GoCards vs. @RutgersMBB and our games through the season! #UofL #RHoops",0,1546
"CBS Sports","Remember to follow @HoopsonCBS for updates on @GoCards vs. @RutgersMBB and our games through the season! #UofL #RHoops",0,1
Mars,"Who's ready for some #ManCandyMonday? RT if you're watching the second night of ABC's #TheBachelor premiere! http://t.co/tIbuz6V4Em",0,29472
Mars,"Who's ready for some #ManCandyMonday? RT if you're watching the second night of ABC's #TheBachelor premiere! http://t.co/tIbuz6V4Em",0,190
Mars,"Who's ready for some #ManCandyMonday? RT if you're watching the second night of ABC's #TheBachelor premiere! http://t.co/tIbuz6V4Em",0,3
Mars,"Who's ready for some #ManCandyMonday? RT if you're watching the second night of ABC's #TheBachelor premiere! http://t.co/tIbuz6V4Em",0,1
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,10023
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,3070
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,2967
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,7822
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,10806
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,15063
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,27519
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,22560
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,8497
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,1969
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,1238
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,1571
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,2891
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,2519
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,481
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,2199
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers.  https://t.co/ImyfHeYXkK",0,1769
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,14264
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,16352
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,14054
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,19013
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,20362
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,19122
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,15572
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,20441
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,24147
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,12436
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,15134
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,17764
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,10487
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,5117
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,1381
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,6141
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,6416
"Norwegian Cruise Lines","Caribbean Cruises. Sign up to get great offers on our Caribbean vacations and latest cruise offers.  https://t.co/ImyfHeYXkK",0,4
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers. https://t.co/H30UrOa3K8",0,15462
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers. https://t.co/H30UrOa3K8",0,13603
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers. https://t.co/H30UrOa3K8",0,16427
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers. https://t.co/H30UrOa3K8",0,9599
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers. https://t.co/H30UrOa3K8",0,8630
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers. https://t.co/H30UrOa3K8",0,10274
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers. https://t.co/H30UrOa3K8",0,27431
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers. https://t.co/H30UrOa3K8",0,13147
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers. https://t.co/H30UrOa3K8",0,8735
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers. https://t.co/H30UrOa3K8",0,2190
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers. https://t.co/H30UrOa3K8",0,1496
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers. https://t.co/H30UrOa3K8",0,3436
"Norwegian Cruise Lines","Sign up to get the inside scoop and be the first to know about our latest cruise offers. https://t.co/H30UrOa3K8",0,2237
